bps_region_code,province,district,poverty_rate,poverty_year,merge_key
1404,RIAU,Pelalawan,7.24,2025,RIAU|PELALAWAN
3273,JAWA BARAT,Kota Bandung,3.78,2025,JAWA BARAT|KOTA BANDUNG
3673,BANTEN,Kota Serang,5.51,2025,BANTEN|KOTA SERANG
5305,NUSA TENGGARA TIMUR,Timor Tengah Utara,20.17,2025,NUSA TENGGARA TIMUR|TIMOR TENGAH UTARA
7202,SULAWESI TENGAH,Banggai,6.23,2025,SULAWESI TENGAH|BANGGAI
9201,PAPUA BARAT DAYA,Raja Ampat,16.57,2025,PAPUA BARAT DAYA|RAJA AMPAT
1901,KEP. BANGKA BELITUNG,Bangka,4.71,2025,KEPULAUAN BANGKA BELITUNG|BANGKA
5202,NUSA TENGGARA BARAT,Lombok Tengah,10.68,2025,NUSA TENGGARA BARAT|LOMBOK TENGAH
1812,LAMPUNG,Tulang Bawang Barat,6.72,2025,LAMPUNG|TULANG BAWANG BARAT
7373,SULAWESI SELATAN,Kota Palopo,7.18,2025,SULAWESI SELATAN|KOTA PALOPO
7414,SULAWESI TENGGARA,Buton Tengah,13.4,2025,SULAWESI TENGGARA|BUTON TENGAH
7502,GORONTALO,Gorontalo,14.89,2025,GORONTALO|GORONTALO
3576,JAWA TIMUR,Kota Mojokerto,5.05,2025,JAWA TIMUR|KOTA MOJOKERTO
5302,NUSA TENGGARA TIMUR,Sumba Timur,25.64,2025,NUSA TENGGARA TIMUR|SUMBA TIMUR
1217,SUMATERA UTARA,Samosir,10.79,2025,SUMATERA UTARA|SAMOSIR
3674,BANTEN,Kota Tangerang Selatan,2.39,2025,BANTEN|KOTA TANGERANG SELATAN
8272,MALUKU UTARA,Kota Tidore Kepulauan,6.54,2025,MALUKU UTARA|KOTA TIDORE KEPULAUAN
3376,JAWA TENGAH,Kota Tegal,7.28,2025,JAWA TENGAH|KOTA TEGAL
1117,ACEH,Bener Meriah,16.2,2025,ACEH|BENER MERIAH
3214,JAWA BARAT,Purwakarta,7.87,2025,JAWA BARAT|PURWAKARTA
7208,SULAWESI TENGAH,Parigi Moutong,13.51,2025,SULAWESI TENGAH|PARIGI MOUTONG
3517,JAWA TIMUR,Jombang,8.36,2025,JAWA TIMUR|JOMBANG
3208,JAWA BARAT,Kuningan,10.74,2025,JAWA BARAT|KUNINGAN
1410,RIAU,Kepulauan Meranti,20.51,2025,RIAU|KEPULAUAN MERANTI
3202,JAWA BARAT,Sukabumi,6.41,2025,JAWA BARAT|SUKABUMI
1377,SUMATERA BARAT,Kota Pariaman,3.83,2025,SUMATERA BARAT|KOTA PARIAMAN
3209,JAWA BARAT,Cirebon,10.23,2025,JAWA BARAT|CIREBON
1307,SUMATERA BARAT,Agam,5.97,2025,SUMATERA BARAT|AGAM
3603,BANTEN,Tangerang,6.42,2025,BANTEN|TANGERANG
9607,PAPUA TENGAH,Puncak,36.94,2025,PAPUA TENGAH|PUNCAK
1102,ACEH,Aceh Singkil,17.07,2025,ACEH|ACEH SINGKIL
7207,SULAWESI TENGAH,Buol,12.48,2025,SULAWESI TENGAH|BUOL
1971,KEP. BANGKA BELITUNG,Kota Pangkal Pinang,4.5,2025,KEPULAUAN BANGKA BELITUNG|KOTA PANGKAL PINANG
5103,BALI,Badung,1.9,2025,BALI|BADUNG
5320,NUSA TENGGARA TIMUR,Sabu Raijua,27.18,2025,NUSA TENGGARA TIMUR|SABU RAIJUA
6305,KALIMANTAN SELATAN,Tapin,2.91,2025,KALIMANTAN SELATAN|TAPIN
6212,KALIMANTAN TENGAH,Barito Timur,6.1,2025,KALIMANTAN TENGAH|BARITO TIMUR
3213,JAWA BARAT,Subang,9.23,2025,JAWA BARAT|SUBANG
3506,JAWA TIMUR,Kediri,9.81,2025,JAWA TIMUR|KEDIRI
6409,KALIMANTAN TIMUR,Penajam Paser Utara,5.78,2025,KALIMANTAN TIMUR|PENAJAM PASER UTARA
1108,ACEH,Aceh Besar,11.05,2025,ACEH|ACEH BESAR
1604,SUMATERA SELATAN,Lahat,13.69,2025,SUMATERA SELATAN|LAHAT
6405,KALIMANTAN TIMUR,Berau,4.44,2025,KALIMANTAN TIMUR|BERAU
3218,JAWA BARAT,Pangandaran,8.03,2025,JAWA BARAT|PANGANDARAN
3529,JAWA TIMUR,Sumenep,17.02,2025,JAWA TIMUR|SUMENEP
8105,MALUKU,Kepulauan Aru,23.1,2025,MALUKU|KEPULAUAN ARU
1771,BENGKULU,Kota Bengkulu,11.91,2025,BENGKULU|KOTA BENGKULU
3571,JAWA TIMUR,Kota Kediri,6.04,2025,JAWA TIMUR|KOTA KEDIRI
9705,PAPUA PEGUNUNGAN,Mamberamo Tengah,32.2,2025,PAPUA PEGUNUNGAN|MAMBERAMO TENGAH
1309,SUMATERA BARAT,Pasaman,6.02,2025,SUMATERA BARAT|PASAMAN
5203,NUSA TENGGARA BARAT,Lombok Timur,13.53,2025,NUSA TENGGARA BARAT|LOMBOK TIMUR
1208,SUMATERA UTARA,Asahan,7.18,2025,SUMATERA UTARA|ASAHAN
1278,SUMATERA UTARA,Kota Gunungsitoli,13.85,2025,SUMATERA UTARA|KOTA GUNUNGSITOLI
1104,ACEH,Aceh Tenggara,9.78,2025,ACEH|ACEH TENGGARA
9604,PAPUA TENGAH,Nabire,22.65,2025,PAPUA TENGAH|NABIRE
9202,PAPUA BARAT DAYA,Sorong,25.1,2025,PAPUA BARAT DAYA|SORONG
5318,NUSA TENGGARA TIMUR,Nagekeo,12.18,2025,NUSA TENGGARA TIMUR|NAGEKEO
7106,SULAWESI UTARA,Minahasa Utara,6.05,2025,SULAWESI UTARA|MINAHASA UTARA
9502,PAPUA SELATAN,Boven Digoel,21.96,2025,PAPUA SELATAN|BOVEN DIGOEL
1110,ACEH,Bireuen,10.3,2025,ACEH|BIREUEN
3302,JAWA TENGAH,Banyumas,11.15,2025,JAWA TENGAH|BANYUMAS
7174,SULAWESI UTARA,Kota Kotamobagu,5.14,2025,SULAWESI UTARA|KOTA KOTAMOBAGU
7401,SULAWESI TENGGARA,Buton,13.46,2025,SULAWESI TENGGARA|BUTON
2171,KEPULAUAN RIAU,Kota Batam,3.81,2025,KEPULAUAN RIAU|KOTA BATAM
3204,JAWA BARAT,Bandung,6.04,2025,JAWA BARAT|BANDUNG
3329,JAWA TENGAH,Brebes,14.15,2025,JAWA TENGAH|BREBES
6308,KALIMANTAN SELATAN,Hulu Sungai Utara,4.81,2025,KALIMANTAN SELATAN|HULU SUNGAI UTARA
6372,KALIMANTAN SELATAN,Kota Banjar Baru,3.44,2025,KALIMANTAN SELATAN|KOTA BANJAR BARU
3313,JAWA TENGAH,Karanganyar,8.48,2025,JAWA TENGAH|KARANGANYAR
3404,D I YOGYAKARTA,Sleman,6.71,2025,D I YOGYAKARTA|SLEMAN
6474,KALIMANTAN TIMUR,Kota Bontang,3.21,2025,KALIMANTAN TIMUR|KOTA BONTANG
2172,KEPULAUAN RIAU,Kota Tanjung Pinang,5.96,2025,KEPULAUAN RIAU|KOTA TANJUNG PINANG
3324,JAWA TENGAH,Kendal,8.4,2025,JAWA TENGAH|KENDAL
3528,JAWA TIMUR,Pamekasan,12.77,2025,JAWA TIMUR|PAMEKASAN
7503,GORONTALO,Pohuwato,15.24,2025,GORONTALO|POHUWATO
1213,SUMATERA UTARA,Langkat,8.42,2025,SUMATERA UTARA|LANGKAT
9205,PAPUA BARAT DAYA,Tambrauw,28.94,2025,PAPUA BARAT DAYA|TAMBRAUW
9708,PAPUA PEGUNUNGAN,Pegunungan Bintang,25.87,2025,PAPUA PEGUNUNGAN|PEGUNUNGAN BINTANG
1111,ACEH,Aceh Utara,14.27,2025,ACEH|ACEH UTARA
1706,BENGKULU,Mukomuko,10.05,2025,BENGKULU|MUKOMUKO
8205,MALUKU UTARA,Halmahera Utara,4.35,2025,MALUKU UTARA|HALMAHERA UTARA
9102,PAPUA BARAT,Kaimana,13.83,2025,PAPUA BARAT|KAIMANA
1704,BENGKULU,Kaur,15.82,2025,BENGKULU|KAUR
3604,BANTEN,Serang,4.48,2025,BANTEN|SERANG
6204,KALIMANTAN TENGAH,Barito Selatan,4.94,2025,KALIMANTAN TENGAH|BARITO SELATAN
3375,JAWA TENGAH,Kota Pekalongan,6.14,2025,JAWA TENGAH|KOTA PEKALONGAN
7571,GORONTALO,Kota Gorontalo,5.31,2025,GORONTALO|KOTA GORONTALO
3579,JAWA TIMUR,Kota Batu,2.86,2025,JAWA TIMUR|KOTA BATU
3314,JAWA TENGAH,Sragen,11.22,2025,JAWA TENGAH|SRAGEN
7209,SULAWESI TENGAH,Tojo Una-Una,14.67,2025,SULAWESI TENGAH|TOJO UNA UNA
1101,ACEH,Simeulue,15.52,2025,ACEH|SIMEULUE
3319,JAWA TENGAH,Kudus,6.59,2025,JAWA TENGAH|KUDUS
1372,SUMATERA BARAT,Kota Solok,2.91,2025,SUMATERA BARAT|KOTA SOLOK
1224,SUMATERA UTARA,Nias Utara,20.79,2025,SUMATERA UTARA|NIAS UTARA
1507,JAMBI,Tanjung Jabung Barat,9.67,2025,JAMBI|TANJUNG JABUNG BARAT
3471,D I YOGYAKARTA,Kota Yogyakarta,6.14,2025,D I YOGYAKARTA|KOTA YOGYAKARTA
1274,SUMATERA UTARA,Kota Tebing Tinggi,8.74,2025,SUMATERA UTARA|KOTA TEBING TINGGI
1806,LAMPUNG,Lampung Utara,15.78,2025,LAMPUNG|LAMPUNG UTARA
3206,JAWA BARAT,Tasikmalaya,10.15,2025,JAWA BARAT|TASIKMALAYA
1674,SUMATERA SELATAN,Kota Lubuklinggau,10.49,2025,SUMATERA SELATAN|KOTA LUBUKLINGGAU
7326,SULAWESI SELATAN,Toraja Utara,10.05,2025,SULAWESI SELATAN|TORAJA UTARA
5321,NUSA TENGGARA TIMUR,Malaka,13.52,2025,NUSA TENGGARA TIMUR|MALAKA
5371,NUSA TENGGARA TIMUR,Kota Kupang,7.57,2025,NUSA TENGGARA TIMUR|KOTA KUPANG
3173,DKI JAKARTA,Kota Jakarta Pusat,4.7,2025,DKI JAKARTA|KOTA JAKARTA PUSAT
3671,BANTEN,Kota Tangerang,5.19,2025,BANTEN|KOTA TANGERANG
9603,PAPUA TENGAH,Deiyai,37.29,2025,PAPUA TENGAH|DEIYAI
9503,PAPUA SELATAN,Mappi,28.46,2025,PAPUA SELATAN|MAPPI
1709,BENGKULU,Bengkulu Tengah,9.74,2025,BENGKULU|BENGKULU TENGAH
7410,SULAWESI TENGGARA,Konawe Utara,11.89,2025,SULAWESI TENGGARA|KONAWE UTARA
3203,JAWA BARAT,Cianjur,9.82,2025,JAWA BARAT|CIANJUR
8201,MALUKU UTARA,Halmahera Barat,7.9,2025,MALUKU UTARA|HALMAHERA BARAT
3277,JAWA BARAT,Kota Cimahi,4.2,2025,JAWA BARAT|KOTA CIMAHI
7602,SULAWESI BARAT,Polewali Mandar,14.02,2025,SULAWESI BARAT|POLEWALI MANDAR
3304,JAWA TENGAH,Banjarnegara,13.28,2025,JAWA TENGAH|BANJARNEGARA
3175,DKI JAKARTA,Kota Jakarta Utara,6.33,2025,DKI JAKARTA|KOTA JAKARTA UTARA
7601,SULAWESI BARAT,Majene,12.98,2025,SULAWESI BARAT|MAJENE
9101,PAPUA BARAT,Fakfak,19.86,2025,PAPUA BARAT|FAKFAK
3402,D I YOGYAKARTA,Bantul,11.54,2025,D I YOGYAKARTA|BANTUL
5201,NUSA TENGGARA BARAT,Lombok Barat,11.9,2025,NUSA TENGGARA BARAT|LOMBOK BARAT
5307,NUSA TENGGARA TIMUR,Alor,18.29,2025,NUSA TENGGARA TIMUR|ALOR
6371,KALIMANTAN SELATAN,Kota Banjarmasin,4.52,2025,KALIMANTAN SELATAN|KOTA BANJARMASIN
8271,MALUKU UTARA,Kota Ternate,3.34,2025,MALUKU UTARA|KOTA TERNATE
7108,SULAWESI UTARA,Siau Tagulandang Biaro,8.32,2025,SULAWESI UTARA|SIAU TAGULANDANG BIARO
1271,SUMATERA UTARA,Kota Sibolga,10.28,2025,SUMATERA UTARA|KOTA SIBOLGA
3374,JAWA TENGAH,Kota Semarang,3.8,2025,JAWA TENGAH|KOTA SEMARANG
7105,SULAWESI UTARA,Minahasa Selatan,8.26,2025,SULAWESI UTARA|MINAHASA SELATAN
2102,KEPULAUAN RIAU,Bintan,4.77,2025,KEPULAUAN RIAU|BINTAN
3323,JAWA TENGAH,Temanggung,7.78,2025,JAWA TENGAH|TEMANGGUNG
9419,PAPUA,Sarmi,15.17,2025,PAPUA|SARMI
3519,JAWA TIMUR,Madiun,10.4,2025,JAWA TIMUR|MADIUN
1805,LAMPUNG,Lampung Tengah,9.59,2025,LAMPUNG|LAMPUNG TENGAH
1212,SUMATERA UTARA,Deli Serdang,3.11,2025,SUMATERA UTARA|DELI SERDANG
5101,BALI,Jembrana,4.33,2025,BALI|JEMBRANA
7212,SULAWESI TENGAH,Morowali Utara,10.38,2025,SULAWESI TENGAH|MOROWALI UTARA
1611,SUMATERA SELATAN,Empat Lawang,10.48,2025,SUMATERA SELATAN|EMPAT LAWANG
7407,SULAWESI TENGGARA,Wakatobi,13.4,2025,SULAWESI TENGGARA|WAKATOBI
7404,SULAWESI TENGGARA,Kolaka,10.19,2025,SULAWESI TENGGARA|KOLAKA
5272,NUSA TENGGARA BARAT,Kota Bima,7.33,2025,NUSA TENGGARA BARAT|KOTA BIMA
7606,SULAWESI BARAT,Mamuju Tengah,7.22,2025,SULAWESI BARAT|MAMUJU TENGAH
5108,BALI,Buleleng,5.2,2025,BALI|BULELENG
9204,PAPUA BARAT DAYA,Maybrat,29.0,2025,PAPUA BARAT DAYA|MAYBRAT
6307,KALIMANTAN SELATAN,Hulu Sungai Tengah,5.03,2025,KALIMANTAN SELATAN|HULU SUNGAI TENGAH
3201,JAWA BARAT,Bogor,6.26,2025,JAWA BARAT|BOGOR
1473,RIAU,Kota Dumai,3.08,2025,RIAU|KOTA DUMAI
1116,ACEH,Aceh Jaya,10.37,2025,ACEH|ACEH JAYA
3211,JAWA BARAT,Sumedang,8.81,2025,JAWA BARAT|SUMEDANG
3279,JAWA BARAT,Kota Banjar,5.73,2025,JAWA BARAT|KOTA BANJAR
1302,SUMATERA BARAT,Pesisir Selatan,6.52,2025,SUMATERA BARAT|PESISIR SELATAN
1312,SUMATERA BARAT,Pasaman Barat,6.3,2025,SUMATERA BARAT|PASAMAN BARAT
9703,PAPUA PEGUNUNGAN,Lanny Jaya,31.59,2025,PAPUA PEGUNUNGAN|LANNY JAYA
6110,KALIMANTAN BARAT,Melawi,10.51,2025,KALIMANTAN BARAT|MELAWI
7311,SULAWESI SELATAN,Bone,9.13,2025,SULAWESI SELATAN|BONE
3311,JAWA TENGAH,Sukoharjo,6.83,2025,JAWA TENGAH|SUKOHARJO
6309,KALIMANTAN SELATAN,Tabalong,4.67,2025,KALIMANTAN SELATAN|TABALONG
3515,JAWA TIMUR,Sidoarjo,4.4,2025,JAWA TIMUR|SIDOARJO
7409,SULAWESI TENGGARA,Buton Utara,13.22,2025,SULAWESI TENGGARA|BUTON UTARA
5319,NUSA TENGGARA TIMUR,Manggarai Timur,23.51,2025,NUSA TENGGARA TIMUR|MANGGARAI TIMUR
1106,ACEH,Aceh Tengah,12.29,2025,ACEH|ACEH TENGAH
