bps_region_code,province,district,poverty_rate,poverty_year,merge_key
6304,KALIMANTAN SELATAN,Barito Kuala,4.31,2025,KALIMANTAN SELATAN|BARITO KUALA
8204,MALUKU UTARA,Halmahera Selatan,4.81,2025,MALUKU UTARA|HALMAHERA SELATAN
6109,KALIMANTAN BARAT,Sekadau,5.61,2025,KALIMANTAN BARAT|SEKADAU
8208,MALUKU UTARA,Pulau Taliabu,6.63,2025,MALUKU UTARA|PULAU TALIABU
7101,SULAWESI UTARA,Bolaang Mongondow,6.98,2025,SULAWESI UTARA|BOLAANG MONGONDOW
8101,MALUKU,Maluku Tenggara Barat,23.38,2025,MALUKU|MALUKU TENGGARA BARAT
9501,PAPUA SELATAN,Merauke,11.31,2025,PAPUA SELATAN|MERAUKE
3503,JAWA TIMUR,Trenggalek,10.29,2025,JAWA TIMUR|TRENGGALEK
7171,SULAWESI UTARA,Kota Manado,4.99,2025,SULAWESI UTARA|KOTA MANADO
7301,SULAWESI SELATAN,Kepulauan Selayar,10.61,2025,SULAWESI SELATAN|KEPULAUAN SELAYAR
8203,MALUKU UTARA,Kepulauan Sula,7.65,2025,MALUKU UTARA|KEPULAUAN SULA
7472,SULAWESI TENGGARA,Kota Baubau,6.83,2025,SULAWESI TENGGARA|KOTA BAUBAU
8206,MALUKU UTARA,Halmahera Timur,10.54,2025,MALUKU UTARA|HALMAHERA TIMUR
1305,SUMATERA BARAT,Tanah Datar,3.59,2025,SUMATERA BARAT|TANAH DATAR
1303,SUMATERA BARAT,Solok,6.52,2025,SUMATERA BARAT|SOLOK
9112,PAPUA BARAT,Pegunungan Arfak,30.88,2025,PAPUA BARAT|PEGUNUNGAN ARFAK
3511,JAWA TIMUR,Bondowoso,12.2,2025,JAWA TIMUR|BONDOWOSO
1707,BENGKULU,Lebong,10.1,2025,BENGKULU|LEBONG
5301,NUSA TENGGARA TIMUR,Sumba Barat,26.47,2025,NUSA TENGGARA TIMUR|SUMBA BARAT
1672,SUMATERA SELATAN,Kota Prabumulih,9.75,2025,SUMATERA SELATAN|KOTA PRABUMULIH
1112,ACEH,Aceh Barat Daya,13.3,2025,ACEH|ACEH BARAT DAYA
7104,SULAWESI UTARA,Kepulauan Talaud,8.34,2025,SULAWESI UTARA|KEPULAUAN TALAUD
6311,KALIMANTAN SELATAN,Balangan,4.64,2025,KALIMANTAN SELATAN|BALANGAN
7306,SULAWESI SELATAN,Gowa,6.64,2025,SULAWESI SELATAN|GOWA
9608,PAPUA TENGAH,Puncak Jaya,35.46,2025,PAPUA TENGAH|PUNCAK JAYA
3325,JAWA TENGAH,Batang,7.79,2025,JAWA TENGAH|BATANG
7603,SULAWESI BARAT,Mamasa,13.66,2025,SULAWESI BARAT|MAMASA
8102,MALUKU,Maluku Tenggara,21.16,2025,MALUKU|MALUKU TENGGARA
3509,JAWA TIMUR,Jember,8.67,2025,JAWA TIMUR|JEMBER
5205,NUSA TENGGARA BARAT,Dompu,11.15,2025,NUSA TENGGARA BARAT|DOMPU
