province,date,temp_mean,temp_max_mean,temp_min_mean,precip_sum,rainy_days,precip_anomaly
Aceh,2021-01-01,25.261290322580646,28.538709677419355,22.89032258064516,254.9,27.0,56.78
Aceh,2021-02-01,26.357142857142858,30.11785714285714,23.32857142857143,78.3,15.0,-46.96000000000002
Aceh,2021-03-01,26.22258064516129,30.061290322580643,23.43548387096774,180.8,22.0,18.840000000000032
Aceh,2021-04-01,26.513333333333332,29.55666666666667,24.163333333333334,133.8,16.0,13.659999999999997
Aceh,2021-05-01,26.919354838709676,29.9,24.574193548387097,183.5,21.0,34.18000000000001
Aceh,2021-06-01,27.02333333333333,30.333333333333332,24.540000000000003,76.5,14.0,13.96
Aceh,2021-07-01,26.864516129032257,29.94516129032258,24.370967741935484,157.4,11.0,58.45
Aceh,2021-08-01,26.68064516129032,29.506451612903227,24.448387096774194,98.7,15.0,-24.724999999999994
Aceh,2021-09-01,26.96333333333333,30.48,24.13,134.8,13.0,-12.024999999999977
Aceh,2021-10-01,26.69677419354839,29.806451612903224,24.229032258064517,111.6,16.0,-129.57500000000002
Aceh,2021-11-01,25.19333333333333,28.123333333333335,23.166666666666668,370.1,25.0,39.025000000000034
Aceh,2021-12-01,25.451612903225808,28.674193548387095,22.967741935483872,144.9,17.0,-164.54999999999998
Aceh,2022-01-01,25.548387096774192,29.061290322580643,22.858064516129033,124.8,17.0,-73.32000000000001
Aceh,2022-02-01,25.514285714285712,29.032142857142855,23.114285714285717,217.3,23.0,92.03999999999999
Aceh,2022-03-01,25.835483870967742,29.11935483870968,23.312903225806455,214.0,26.0,52.04000000000002
Aceh,2022-04-01,26.423333333333336,29.64,23.863333333333333,134.0,23.0,13.859999999999985
Aceh,2022-05-01,27.225806451612904,30.135483870967743,24.864516129032257,124.6,11.0,-24.72
Aceh,2022-06-01,26.69333333333333,30.073333333333334,24.10666666666667,83.10000000000001,16.0,20.56000000000001
Aceh,2022-07-01,26.9,30.141935483870967,24.335483870967742,107.0,17.0,8.049999999999997
Aceh,2022-08-01,26.919354838709676,30.26774193548387,24.125806451612902,108.80000000000001,12.0,-14.624999999999986
Aceh,2022-09-01,27.009999999999998,30.573333333333334,24.493333333333332,120.9,11.0,-25.924999999999983
Aceh,2022-10-01,25.538709677419355,28.296774193548387,23.503225806451614,356.9,24.0,115.72499999999997
Aceh,2022-11-01,25.209999999999997,27.90666666666667,23.166666666666668,348.7,23.0,17.625
Aceh,2022-12-01,24.67096774193548,27.625806451612902,22.60967741935484,431.7,24.0,122.25
Aceh,2023-01-01,24.796774193548387,28.306451612903224,22.193548387096776,238.3,22.0,40.18000000000001
Aceh,2023-02-01,25.235714285714288,28.553571428571427,22.678571428571427,165.4,25.0,40.139999999999986
Aceh,2023-03-01,25.812903225806455,29.44516129032258,23.016129032258064,189.1,25.0,27.140000000000015
