source,url,status,rows,output,retrieved_at,notes
BI PIHPS Province Reference,https://www.bi.go.id/hargapangan/WebSite/Home/GetProvinceAll,downloaded,35,D:\Home\Projects\GEMASTIK\DATA MINING - Penambangan Data\PanganFlow-ID\data\raw\bi_pihps_provinces.json,2026-05-18T21:18:57.809861+07:00,Reference endpoint reachable.
BI PIHPS Commodity Reference,https://www.bi.go.id/hargapangan/WebSite/TabelHarga/GetRefCommodityAndCategory,downloaded,31,D:\Home\Projects\GEMASTIK\DATA MINING - Penambangan Data\PanganFlow-ID\data\raw\bi_pihps_commodities.json,2026-05-18T21:18:57.960573+07:00,Reference endpoint reachable.
BI PIHPS Daily Price Attempt,https://www.bi.go.id/hargapangan/WebSite/TabelHarga/GetGridDataKomoditas?comcat_id=com_3&tipe_laporan=1&start_date=2026-01-18&end_date=2026-05-18,downloaded,0,D:\Home\Projects\GEMASTIK\DATA MINING - Penambangan Data\PanganFlow-ID\data\raw\bi_pihps_daily_com_3.json,2026-05-18T21:18:58.347763+07:00,Beras Kualitas Medium I
BI PIHPS Daily Price Attempt,https://www.bi.go.id/hargapangan/WebSite/TabelHarga/GetGridDataKomoditas?comcat_id=com_4&tipe_laporan=1&start_date=2026-01-18&end_date=2026-05-18,downloaded,0,D:\Home\Projects\GEMASTIK\DATA MINING - Penambangan Data\PanganFlow-ID\data\raw\bi_pihps_daily_com_4.json,2026-05-18T21:18:59.301580+07:00,Beras Kualitas Medium II
BI PIHPS Manual Snapshot,https://www.bi.go.id/hargapangan/images/manual.pdf,not_provided,0,D:\Home\Projects\GEMASTIK\DATA MINING - Penambangan Data\PanganFlow-ID\data\raw\bi_pihps_beras_manual.csv,2026-05-18T21:18:59.310501+07:00,Optional manual CSV not found.
Bapanas Monthly Consumer Price,https://satudata.badanpangan.go.id/datasetpublications/tq2/harga-pangan-tingkat-konsumen-provinsi,loaded,1904,D:\Home\Projects\GEMASTIK\DATA MINING - Penambangan Data\PanganFlow-ID\data\raw\bapanas_harga_pangan_bulanan_konsumen_provinsi.csv,2026-05-18T21:18:59.521148+07:00,Filtered to Beras Medium.
BPS Rice Production and Consumption Snapshot,https://www.bps.go.id/id/statistics-table/3/ZDNaak0yODBUVTlGYW5sa2REUkVUVVY1YVZkbmR6MDkjMyMwMDAw/produksi-padi-sup-1-sup-dan-beras-menurut-provinsi.html?year=2024,loaded_manual_snapshot,38,D:\Home\Projects\GEMASTIK\DATA MINING - Penambangan Data\PanganFlow-ID\data\raw\bps_rice_balance_snapshot.csv,2026-05-18T21:18:59.570676+07:00,Consumption companion: https://www.bps.go.id/id/publication/2024/10/18/dda144ad01aec46898795ccf/pengeluaran-untuk-konsumsi-penduduk-indonesia-per-provinsi--maret-2024.html/
Primary Price Source,https://satudata.badanpangan.go.id/datasetpublications/tq2/harga-pangan-tingkat-konsumen-provinsi,selected_bapanas,1904,D:\Home\Projects\GEMASTIK\DATA MINING - Penambangan Data\PanganFlow-ID\data\processed,2026-05-18T21:18:59.682953+07:00,Bapanas selected for stable cross-province monthly coverage.
