rank,region_code,province,district,final_priority_score,model_priority_score,reference_priority_score,coverage_gap,nutrition_need,food_vulnerability,socioeconomic_stress,price_stress,sppg_operational_count,mbg_beneficiaries,top_reasons,case_note
1,252800,Papua,Kab. Mamberamo Raya,0.706411989037012,0.7055739249565123,0.7079683937579402,0.9234818421642154,0.3,1.0,0.964545190351642,0.5483230932828003,0,3366,kepadatan SPPG rendah relatif terhadap penerima; kerentanan pangan struktural tinggi; tekanan sosial-ekonomi tinggi,"Kab. Mamberamo Raya masuk Top-5 karena kepadatan SPPG rendah relatif terhadap penerima; kerentanan pangan struktural tinggi; tekanan sosial-ekonomi tinggi. Skor gap=0.92, need=0.30, kerentanan pangan=1.00."
2,66400,Aceh,Kota Subulussalam,0.654783877341476,0.7055739249565123,0.5604595031992657,0.9649763239827468,0.2261872270742358,0.7539574235807861,0.3481546062191223,0.7407043415714181,16,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi,"Kota Subulussalam masuk Top-5 karena kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi. Skor gap=0.96, need=0.23, kerentanan pangan=0.75."
3,250200,Papua,Kab. Biak Numfor,0.6466661432577218,0.7055739249565123,0.5372659772456824,0.8362091556995022,0.1950304065106899,0.6432860262008734,0.6925312409183376,0.5483230932828003,0,1294,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi,"Kab. Biak Numfor masuk Top-5 karena kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi. Skor gap=0.84, need=0.20, kerentanan pangan=0.64."
4,210700,Maluku,Kab. Kepulauan Aru,0.6463122437905875,0.7055739249565123,0.5362548359110129,0.8214821694654674,0.2231276069495168,0.7262554585152838,0.6160999709386806,0.3024708753691258,2,716,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi,"Kab. Kepulauan Aru masuk Top-5 karena kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi. Skor gap=0.82, need=0.22, kerentanan pangan=0.73."
5,252000,Papua,Kab. Keerom,0.6403561584116256,0.7055739249565123,0.5192374491139791,0.9888380992233862,0.1725982532751091,0.5753275109170306,0.4609125254286544,0.5483230932828003,0,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi,"Kab. Keerom masuk Top-5 karena kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi. Skor gap=0.99, need=0.17, kerentanan pangan=0.58."
