group,districts,mean_score,top10_share,mean_data_completeness
Java,119,0.13713927937890175,0.0,0.7394957983193278
Non-Java,319,0.26886187910993936,0.13793103448275862,0.725705329153605
Eastern Indonesia,130,0.318029949198174,0.23846153846153847,0.7153846153846154
Western/Central Indonesia,308,0.19721629963116025,0.04220779220779221,0.7353896103896104
Higher-data districts,404,0.2304478365329806,0.09158415841584158,0.75
Lower-data districts,34,0.264281991848112,0.20588235294117646,0.4852941176470588
